"state","age_group","race","death_2019","population_2019","covid_deaths","total_deaths_pandemic","annual_death_pandemic","prop_higher_education","fips","mean_household_income","private_insurance","public_insurance","no_insurance","mortrate_2019","mortrate_covid","mortrate_change","income","education","income_decile","education_decile"
"CA","35-44 years","White",5798,3711456,562,14301,3900.3,35.3,6,119149,64.3,38,7.2,156.219014855625,105.088137916764,-51.1308769388617,119149,35.3,9,7
"CA","45-54 years","Black or African American",1714,324370,637,7768,2118.5,35.3,6,119149,64.3,38,7.2,528.408915744366,653.112186700373,124.703270956007,119149,35.3,9,7
"CA","45-54 years","White",11467,3567221,1463,25730,7017.3,35.3,6,119149,64.3,38,7.2,321.454712225567,196.716155236808,-124.73855698876,119149,35.3,9,7
"CA","55-64 years","Black or African American",3952,323224,1465,17092,4661.5,35.3,6,119149,64.3,38,7.2,1222.68148404821,1442.188698859,219.507214810781,119149,35.3,9,7
"CA","55-64 years","White",26181,3507707,4393,69400,18927.3,35.3,6,119149,64.3,38,7.2,746.385031589012,539.591818814969,-206.793212774043,119149,35.3,9,7
"CA","65-74 years","Black or African American",4643,192980,1911,21514,5867.5,35.3,6,119149,64.3,38,7.2,2405.94880298477,3040.47051507928,634.521712094517,119149,35.3,9,7
"CA","65-74 years","White",38704,2530299,7921,121310,33084.5,35.3,6,119149,64.3,38,7.2,1529.62159807991,1307.53322038226,-222.088377697655,119149,35.3,9,7
"CA","75-84 years","Black or African American",4430,93518,1642,18730,5108.2,35.3,6,119149,64.3,38,7.2,4737.05596783507,5462.26394918625,725.207981351184,119149,35.3,9,7
"CA","75-84 years","White",50034,1288491,11686,166679,45457.9,35.3,6,119149,64.3,38,7.2,3883.14703013059,3527.99515091685,-355.151879213747,119149,35.3,9,7
"CA","85+ years","Black or African American",4049,35543,1403,17353,4732.6,35.3,6,119149,64.3,38,7.2,11391.8352418198,13315.1394086037,1923.3041667839,119149,35.3,9,7
"CA","85+ years","White",74182,569363,15097,235042,64102.4,35.3,6,119149,64.3,38,7.2,13028.9463839414,11258.617086112,-1770.32929782933,119149,35.3,9,7
"CO","< 1 year","Black or African American",39,3090,NA,114,31.1,42.8,8,107446,70.7,32.3,7.9,1262.1359223301,1006.47249190939,-255.663430420712,107446,42.8,8,10
"CO","< 1 year","White",235,53418,NA,498,135.8,42.8,8,107446,70.7,32.3,7.9,439.926616496312,254.221423490209,-185.705193006103,107446,42.8,8,10
"CO","1-4 years","White",26,221069,0,98,26.7,42.8,8,107446,70.7,32.3,7.9,11.761033885348,12.0776771053382,0.316643219990137,107446,42.8,8,10
"CO","5-14 years","White",90,591227,NA,191,52.1,42.8,8,107446,70.7,32.3,7.9,15.2225794830074,8.81218212294094,-6.41039736006644,107446,42.8,8,10
"CO","15-24 years","Black or African American",43,38730,NA,221,60.3,42.8,8,107446,70.7,32.3,7.9,111.025045184611,155.693261037955,44.6682158533437,107446,42.8,8,10
"CO","15-24 years","White",510,622994,19,1296,353.5,42.8,8,107446,70.7,32.3,7.9,81.8627466717175,56.7421195067689,-25.1206271649486,107446,42.8,8,10
"CO","25-34 years","Black or African American",83,48945,12,466,127.1,42.8,8,107446,70.7,32.3,7.9,169.57809786495,259.679231790786,90.1011339258351,107446,42.8,8,10
"CO","25-34 years","White",953,778768,89,3159,861.5,42.8,8,107446,70.7,32.3,7.9,122.372773406201,110.623446263842,-11.7493271423582,107446,42.8,8,10
"CO","35-44 years","Black or African American",97,38167,30,541,147.5,42.8,8,107446,70.7,32.3,7.9,254.146251997799,386.45950690387,132.313254906071,107446,42.8,8,10
"CO","35-44 years","White",1208,691132,159,4505,1228.6,42.8,8,107446,70.7,32.3,7.9,174.785713872314,177.766331178415,2.9806173061007,107446,42.8,8,10
"CO","45-54 years","Black or African American",152,31958,54,646,176.2,42.8,8,107446,70.7,32.3,7.9,475.624256837099,551.348645096689,75.7243882595907,107446,42.8,8,10
"CO","45-54 years","White",2005,621230,433,6796,1853.5,42.8,8,107446,70.7,32.3,7.9,322.746808750382,298.359705745054,-24.3871030053281,107446,42.8,8,10
